wo_id,equipment_id,date,problem,root_cause,action_taken,technician,status
"WO-0001","MTR-CW-102","2024-01-01","Motor body temperature 110°C during run","Overheating due to single phasing","Replaced blown fuse; checked and tightened terminal connections","Murugan","Completed"
"WO-0002","HEX-PR-201","2024-01-05","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Murugan","Closed"
"WO-0003","PMP-CW-102","2024-01-07","Flow rate drop with high power consumption","Cavitation from entrained air in suction line","Bled air from suction; repaired suction pipe joint","Rajan","Completed"
"WO-0004","VLV-CW-101","2024-01-09","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Rajan","Completed"
"WO-0005","CMP-REF-301","2024-01-11","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction","Topped oil; replaced oil cooler; checked all temp sensors","Pradeep","Completed"
"WO-0006","HEX-SM-301","2024-01-14","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Murugan","Completed"
"WO-0007","HEX-PR-201","2024-01-15","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Rajan","Completed"
"WO-0008","MTR-FW-201","2024-01-17","Thermal overload trip during peak load","Overheating from overloaded operating conditions","Reset overload relay; adjusted load; verified current settings","Rajan","Completed"
"WO-0009","HEX-CW-102","2024-01-19","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Rajan","Completed"
"WO-0010","PMP-PR-301","2024-01-20","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Kavitha","Completed"
"WO-0011","MTR-PR-301","2024-01-21","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Anwar","Completed"
"WO-0012","MTR-PR-301","2024-01-22","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Kavitha","Completed"
"WO-0013","HEX-CW-102","2024-01-22","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer; last PM inspection overdue by 29 days","Mechanical cleaning of shell side; replaced gaskets; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0014","MTR-CW-101","2024-01-23","Coupling bolts shearing frequently","Angular misalignment causing shock loads","Complete shaft alignment; replaced coupling; documented baseline","Suresh","Completed"
"WO-0015","VLV-CW-101","2024-01-26","Valve passing in closed position","Seat erosion from high velocity flow; last PM inspection overdue by 85 days","Lapped valve seat; replaced stem packing; PM schedule updated and overdue inspection completed","Kavitha","Completed"
