incident_id,equipment_id,incident_date,failure_mode,root_cause,contributing_factors,corrective_action,preventable,linked_work_order
INC-0001,MTR-CW-102,2024-01-01,Overheating,Overheating due to single phasing,Derived from linked work order history,Replaced blown fuse; checked and tightened terminal connections,Partially,WO-0001
INC-0002,HEX-PR-201,2024-01-05,Corrosion,Erosion-corrosion at tube ends,Derived from linked work order history,Plugged leaking tubes; scheduled tube bundle replacement,Yes,WO-0002
INC-0003,PMP-CW-102,2024-01-07,Cavitation,Cavitation from entrained air in suction line,Derived from linked work order history,Bled air from suction; repaired suction pipe joint,Yes,WO-0003
INC-0004,VLV-CW-101,2024-01-09,Corrosion,Corrosion of stem and body seizing,Derived from linked work order history,Penetrating oil applied; stem polished; lubricated,Yes,WO-0004
INC-0005,CMP-REF-301,2024-01-11,Overheating,Temperature alarm due to low oil level causing friction,Derived from linked work order history,Topped oil; replaced oil cooler; checked all temp sensors,Partially,WO-0005
INC-0006,HEX-SM-301,2024-01-14,Corrosion,Erosion-corrosion at tube ends,Derived from linked work order history,Plugged leaking tubes; scheduled tube bundle replacement,Yes,WO-0006
INC-0007,HEX-PR-201,2024-01-15,Vibration,Tube-side fouling and partial blockage,Derived from linked work order history,High-pressure water jetting of tube bundle; eddy current test,Yes,WO-0007
INC-0008,MTR-FW-201,2024-01-17,Overheating,Overheating from overloaded operating conditions,Derived from linked work order history,Reset overload relay; adjusted load; verified current settings,Yes,WO-0008
INC-0009,HEX-CW-102,2024-01-19,Overheating,Fouling on shell side reducing heat transfer,Derived from linked work order history,Mechanical cleaning of shell side; replaced gaskets,Partially,WO-0009
INC-0010,PMP-PR-301,2024-01-20,Seal Leakage,Mechanical seal face wear and spring fatigue,Derived from linked work order history,Replaced mechanical seal cartridge; inspected shaft sleeve,Yes,WO-0010
INC-0011,MTR-PR-301,2024-01-21,Overheating,Overheating due to blocked ventilation ducts,Derived from linked work order history,Cleaned cooling fins; replaced cooling fan; checked current draw,Yes,WO-0011
INC-0012,MTR-PR-301,2024-01-22,Vibration,Insulation failure due to moisture ingress,Derived from linked work order history,Oven-dried windings; applied insulation varnish; megger tested,Yes,WO-0012
INC-0013,HEX-CW-102,2024-01-22,Overheating,Fouling on shell side reducing heat transfer; last PM inspection overdue by 29 days,Derived from linked work order history,Mechanical cleaning of shell side; replaced gaskets; PM schedule updated and overdue inspection completed,Partially,WO-0013
INC-0014,MTR-CW-101,2024-01-23,Vibration,Angular misalignment causing shock loads,Derived from linked work order history,Complete shaft alignment; replaced coupling; documented baseline,Yes,WO-0014
INC-0015,VLV-CW-101,2024-01-26,Vibration,Seat erosion from high velocity flow; last PM inspection overdue by 85 days,Derived from linked work order history,Lapped valve seat; replaced stem packing; PM schedule updated and overdue inspection completed,Yes,WO-0015
INC-0016,MTR-FW-201,2024-01-26,Vibration,Shaft misalignment with driven pump; last PM inspection overdue by 66 days,Derived from linked work order history,Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed,Yes,WO-0016
INC-0017,MTR-FW-201,2024-01-27,Vibration,Insulation failure due to moisture ingress; last PM inspection overdue by 50 days,Derived from linked work order history,Oven-dried windings; applied insulation varnish; megger tested; PM schedule updated and overdue inspection completed,Partially,WO-0017
INC-0018,VLV-CW-101,2024-01-30,Seal Leakage,Packing degradation from thermal cycling,Derived from linked work order history,Replaced PTFE packing; torqued gland follower,Yes,WO-0018
INC-0019,HEX-CW-101,2024-02-01,Overheating,Fouling on shell side reducing heat transfer,Derived from linked work order history,Mechanical cleaning of shell side; replaced gaskets,Yes,WO-0019
INC-0020,VLV-ST-301,2024-02-03,Vibration,Seat erosion from high velocity flow,Derived from linked work order history,Lapped valve seat; replaced stem packing,Yes,WO-0020
INC-0021,MTR-CW-101,2024-02-08,Vibration,Insulation deterioration from thermal cycling; last PM inspection overdue by 71 days,Derived from linked work order history,Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed,Partially,WO-0021
INC-0022,MTR-FW-201,2024-02-10,Overheating,Overheating due to blocked ventilation ducts,Derived from linked work order history,Cleaned cooling fins; replaced cooling fan; checked current draw,Yes,WO-0022
INC-0023,CMP-REF-301,2024-02-10,Vibration,Oil leakage from separator element failure,Derived from linked work order history,Replaced oil separator element; checked coalescing filter,Yes,WO-0023
INC-0024,CMP-N2-201,2024-02-12,Overheating,Temperature alarm due to low oil level causing friction; last PM inspection overdue by 66 days,Derived from linked work order history,Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed,Yes,WO-0024
INC-0025,CMP-AIR-101,2024-02-14,Overheating,Temperature alarm due to low oil level causing friction,Derived from linked work order history,Topped oil; replaced oil cooler; checked all temp sensors,Partially,WO-0025
INC-0026,PMP-FW-202,2024-02-20,Cavitation,Cavitation due to low suction pressure; last PM inspection overdue by 36 days,Derived from linked work order history,Adjusted suction valve opening; cleared strainer blockage; PM schedule updated and overdue inspection completed,Yes,WO-0026
INC-0027,PMP-CW-101,2024-02-23,Bearing Failure,Bearing wear combined with rotor imbalance; last PM inspection overdue by 70 days,Derived from linked work order history,Bearings replaced; rotor balanced in-situ; PM schedule updated and overdue inspection completed,Yes,WO-0027
INC-0028,HEX-CW-101,2024-02-26,Overheating,Fouling on shell side reducing heat transfer,Derived from linked work order history,Mechanical cleaning of shell side; replaced gaskets,Yes,WO-0028
INC-0029,VLV-CW-102,2024-02-28,Seal Leakage,Packing degradation from thermal cycling,Derived from linked work order history,Replaced PTFE packing; torqued gland follower,Partially,WO-0029
INC-0030,VLV-CW-101,2024-02-29,Corrosion,Corrosion of stem and body seizing,Derived from linked work order history,Penetrating oil applied; stem polished; lubricated,Yes,WO-0030
INC-0031,MTR-FW-202,2024-03-05,Overheating,Overheating from overloaded operating conditions,Derived from linked work order history,Reset overload relay; adjusted load; verified current settings,Yes,WO-0031
INC-0032,CMP-AIR-102,2024-03-06,Overheating,Fouling and scale buildup in heat exchanger passages,Derived from linked work order history,Chemical descaling of cooler; backflushed cooling water circuit,Yes,WO-0032
INC-0033,PMP-CW-102,2024-03-08,Bearing Failure,"Advanced bearing wear, lubricant degradation",Derived from linked work order history,Emergency bearing replacement; installed temperature sensor,Partially,WO-0033
INC-0034,MTR-PR-301,2024-03-09,Overheating,Overheating from overloaded operating conditions,Derived from linked work order history,Reset overload relay; adjusted load; verified current settings,Yes,WO-0034
